rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
2.0,2.0,1.0,pump_only,1.0,276.90203133986444,0.9617261904761903,1.0000000000000162,4.235191123050614,1.0,424.85950863321244,0.9641666666666667,1.0000000000000162,5.2984955222797065,1.0,768.5065620817807,0.9714583333333333,1.0000000000000162,6.853453375200839
2.0,2.0,1.0,pump_radiator,1.0,187.1757208783444,0.961547619047619,1.0000000000000162,3.6945081038079173,1.0,381.3775509421872,0.9688541666666666,1.0000000000000162,5.1770069043050375,1.0,498.9909995347726,0.9710416666666667,1.0000000000000162,6.095716415631047
2.0,2.0,1.0,radiator_only,1.0,1119.4822408959383,0.9722172619047621,1.0000000000000162,7.793129273764179,1.0,1742.679263245643,0.9744791666666667,1.0000000000000162,9.500111303834613,1.0,2517.7966925902956,0.9766666666666667,1.0000000000000162,11.562680604887573
2.0,2.0,2.0,a10_hybrid,1.0,36.43778222804589,0.9539136904761907,0.6561805483386306,2.4871282238808132,1.0,67.5189673502698,0.9592708333333333,0.611853929587284,3.308427333045009,1.0,144.20688405248134,0.9663541666666666,0.5753671032727037,4.011383624452429
2.0,2.0,2.0,load_throttle,1.0,440.01723181453593,0.9691964285714286,0.5608885524123275,5.461904676844873,1.0,585.0453246183849,0.9702083333333333,0.5605325569066862,6.241976882512753,1.0,962.7691505512495,0.9736458333333333,0.5594237216492881,7.876026261439615
2.0,2.0,2.0,no_control,1.0,1572.7452720459648,0.9723511904761905,1.0000000000000162,8.959907766689355,1.0,2554.4300944837137,0.9747916666666667,1.0000000000000162,10.909545789648124,1.0,3659.6207145605476,0.9763541666666666,1.0000000000000162,13.205788071835517
2.0,2.0,2.0,pump_only,1.0,308.8759658500626,0.9621279761904761,1.0000000000000162,4.333876926829757,1.0,499.5839730813164,0.9671875,1.0000000000000162,5.614596476259198,1.0,710.2751515044567,0.9697916666666667,1.0000000000000162,6.698114779195325
2.0,2.0,2.0,pump_radiator,1.0,187.2899746566031,0.9622321428571426,1.0000000000000162,3.716887028690323,1.0,319.798050822539,0.9682291666666667,1.0000000000000162,4.994147623255834,1.0,490.94698841262226,0.9717708333333334,1.0000000000000162,6.080846920767177
2.0,2.0,2.0,radiator_only,1.0,1005.9647977229255,0.9715476190476189,1.0000000000000162,7.412216733298561,1.0,1641.3152335263096,0.9734375,1.0000000000000162,9.371998717810865,1.0,2544.625319004178,0.9773958333333334,1.0000000000000162,11.663191134996639
2.0,3.0,1.0,a10_hybrid,1.0,20.785649351893806,0.9437499999999999,0.7566063894130686,2.0766168962304183,1.0,44.18199106942874,0.9526041666666667,0.7093024388438268,2.9343195011116836,1.0,81.30008688497479,0.9586458333333334,0.6617628723864579,3.5205415753239353
2.0,3.0,1.0,load_throttle,1.0,215.52179921360013,0.9663690476190475,0.5616238510174909,4.1940289945594715,1.0,300.6874821935312,0.9686458333333333,0.5608800403165863,5.137880993463779,1.0,661.8305121937628,0.974375,0.5590539365542564,7.000124678833798
2.0,3.0,1.0,no_control,1.0,746.5964015072683,0.970684523809524,1.0000000000000162,6.657135514795621,1.0,1133.552646658732,0.97375,1.0000000000000162,8.409799678574863,1.0,2155.9385927163307,0.9766666666666667,1.0000000000000162,11.123645970531156
