rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,4.0,2.0,no_control,1.0,0.0,473.30607420008766,0.9695535714285715,1.0000000000000162,5.6456369661470935,1.0,769.7165848411555,0.9739583333333333,1.0000000000000162,7.338267642027888,1.0,1101.7505055384631,0.9754166666666667,1.0000000000000162,8.78602123171064
1.0,4.0,2.0,pump_radiator,1.0,0.0,79.37399534201896,0.9531845238095238,1.0000000000000162,2.7410870571475856,1.0,104.43320041331526,0.9562499999999999,1.0000000000000162,3.4166844797785116,1.0,151.48716231368533,0.9572916666666667,1.0000000000000162,3.919159585708625
1.0,4.0,4.0,a10_hybrid,1.0,1.0,10.251941700197253,0.8921726190476191,0.6261041409434098,1.6775068572191247,1.0,22.474846943196837,0.9275,0.6056886060969409,2.117182269111334,1.0,45.24448568958081,0.9516666666666667,0.5725119209924353,2.7594007813558137
1.0,4.0,4.0,a10_hybrid_v2,1.0,0.9642857142857143,13.731453667552756,0.9080952380952381,0.7779233833292175,1.7836897483259448,1.0,27.2212560228449,0.9322916666666667,0.7636712556639387,2.28143576033427,1.0,62.37063536649508,0.9502083333333333,0.743703260676709,3.027431837335557
1.0,4.0,4.0,no_control,1.0,0.0,416.5317538701976,0.969077380952381,1.0000000000000162,5.389903208034143,1.0,654.0461072796543,0.9722916666666668,1.0000000000000162,6.91088642336173,1.0,1530.799377361025,0.9766666666666667,1.0000000000000162,9.926217719240961
1.0,4.0,4.0,pump_radiator,1.0,0.0,70.80810633557903,0.9504464285714285,1.0000000000000162,2.6597976935287035,1.0,115.14043901023267,0.9589583333333332,1.0000000000000162,3.5180285915042435,1.0,220.6553860086237,0.9575,1.0000000000000162,4.41621443043778
1.0,6.0,1.0,a10_hybrid,1.0,1.0,11.22179796522609,0.9211607142857143,0.7659212240578492,1.6613326714177572,1.0,20.162767999549224,0.9316666666666668,0.7438255672851973,2.096281102584858,1.0,43.91176865778224,0.946875,0.7000182519103965,2.618947117200822
1.0,6.0,1.0,a10_hybrid_v2,1.0,0.0,13.43629961465937,0.9241666666666666,0.8693814135789264,1.7090623885441814,1.0,31.003412515417644,0.9345833333333333,0.8631450468947195,2.2322735998122005,1.0,46.672246334617114,0.9404166666666667,0.8423158553491278,2.4892519781508393
1.0,6.0,1.0,no_control,1.0,0.0,261.74022227199436,0.9681845238095238,1.0000000000000162,4.501846993573738,1.0,343.51235649614244,0.9697916666666667,1.0000000000000162,5.556758105928219,1.0,787.1864689889254,0.9741666666666666,1.0000000000000162,7.819759700813778
1.0,6.0,1.0,pump_radiator,1.0,0.0,38.89681505600674,0.9401488095238096,1.0000000000000162,2.1873894566016614,1.0,71.83154801371296,0.9533333333333334,1.0000000000000162,2.943104471162284,1.0,120.61906035026503,0.95875,1.0000000000000162,3.561588050840625
1.0,6.0,2.0,a10_hybrid,1.0,1.0,8.016344608214327,0.9077678571428571,0.6963039346293749,1.5804700797579474,1.0,17.617875602827326,0.9285416666666666,0.668409502287317,1.9765212213172354,1.0,37.45806510234826,0.9427083333333333,0.6320132393043201,2.306226671670257
1.0,6.0,2.0,a10_hybrid_v2,1.0,0.14285714285714285,9.475064566542091,0.9155357142857142,0.8329495668436646,1.6066512036757061,1.0,18.233700268099064,0.9297916666666667,0.8130879310110689,2.0168771376629064,1.0,43.32029153274641,0.9422916666666666,0.7859708002853331,2.440611069626281
